Rxn,Rxn_Name,Rule,Pathway,Formula
DM_oretn_n_,"Demand for 4-Oxo-Retonoic Acid ",,"Exchange/demand reaction","4-Oxo-13-Cis-Retinoate  -> "
DM_Ser_Thr_ly_,"Demand for Ser/Thr, Lysosomal",,"Exchange/demand reaction","Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)  -> "
DM_Ser_Gly_Ala_X_Gly_ly_,"Demand for Ser-Gly/Ala-X-Gly, Lysosomal",,"Exchange/demand reaction","Protein-Linked Serine Residue (Glycosaminoglycan Attachment Site)  -> "
DM_sprm_c_,"Demand for  Spermine,  Cytosolic",,"Exchange/demand reaction","Spermine  -> "
DM_sTn_antigen_g_,"Demand for  Sialyl-Tn Antigen,  Golgi Apparatus",,"Exchange/demand reaction","Sialyl-Tn Antigen  -> "
DM_T_antigen_g_,"Demand for  T-Antigen (Core 1),  Golgi Apparatus",,"Exchange/demand reaction","T-Antigen (Core 1)  -> "
DM_yvite_c_,"Demand for Gamma-Tocopherol ",,"Exchange/demand reaction","(+)-Gama-Tocopherol  -> "
DMANTIPYRINEte,"Transport of Demethylated Antipyrine",,"Transport, extracellular","Demethylated Antipyrine  <=> Demethylated Antipyrine "
DMATTx,"Dimethylallyltranstransferase",FDPS,"Cholesterol metabolism","Dimethylallyl Diphosphate + Isopentenyl Diphosphate  -> Diphosphate + Geranyl Diphosphate "
DMGDHm,"Dimethylglycine Dehydrogenase, Mitochondrial",DMGDH,"Glycine, serine, alanine, and threonine metabolism","Water + Flavin Adenine Dinucleotide Oxidized + N,N-Dimethylglycine  -> Flavin Adenine Dinucleotide Reduced + Formaldehyde + Sarcosine "
DMGtm,"Transport of Dimethylglycine via Diffusion, Mitochondrial",,"Transport, mitochondrial","N,N-Dimethylglycine  <=> N,N-Dimethylglycine "
DMHPTCRNCPT2,"2, 6 Dimethylheptanoly Coenzyme A Carnitine Transferase",,"Fatty acid oxidation","Coenzyme A + 2,6 Dimethylheptanoyl Carnitine  <=> L-Carnitine + 2,6 Dimethylheptanoyl Coenzyme A "
DMHPTCRNt,"Transport of 2, 6 Dimethylheptanoyl Carnitine, Mitochondrial",,"Fatty acid oxidation","2,6 Dimethylheptanoyl Carnitine  <=> 2,6 Dimethylheptanoyl Carnitine "
DMHPTCRNte,"Transport of 2, 6 Dimethylheptanoyl Carnitine, Extracellular",,"Transport, extracellular","2,6 Dimethylheptanoyl Carnitine  <=> 2,6 Dimethylheptanoyl Carnitine "
DMNONCOACRNCPT1,"Dmnoncoacrncpt1",,"Fatty acid oxidation","L-Carnitine + 4,8 Dimethylnonanoyl Coenzyme A  <=> Coenzyme A + 4,8-Dimethylnonanoyl Carnitine "
DMNONCRNCPT2,"Dmnoncrncpt2",,"Fatty acid oxidation","Coenzyme A + 4,8-Dimethylnonanoyl Carnitine  <=> L-Carnitine + 4,8 Dimethylnonanoyl Coenzyme A "
DMNONCRNt,"4, 8 Dimethylnonanoyl Carnitine Transport, Mitochondrial",,"Fatty acid oxidation","4,8-Dimethylnonanoyl Carnitine  <=> 4,8-Dimethylnonanoyl Carnitine "
DNADtn,"Transport of DNAD, Nuclear through Pore",,"Transport, nuclear","Deamino-Nad+  <=> Deamino-Nad+ "
DNDPt10m,"Transport of dADP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Diphosphate + Deoxycytidine-5'-Diphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxyadenosine Diphosphate "
DNDPt11m,"Transport of dADP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Diphosphate + Deoxyguanosine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxyadenosine Diphosphate "
DNDPt12m,"Transport of dADP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxyadenosine Diphosphate  -> Adenosine Diphosphate + Deoxyadenosine Diphosphate "
DNDPt13m,"Transport of dADP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxyadenosine Diphosphate  -> Adenosine Triphosphate + Deoxyadenosine Diphosphate "
DNDPt14m,"Transport of dUDP via dTDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxythymidine-5'-Diphosphate + Deoxyuridine-5'-Diphosphate  -> Deoxythymidine-5'-Diphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt15m,"Transport of dUDP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Diphosphate + Deoxyuridine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt16m,"Transport of dUDP via dADP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Diphosphate + Deoxyuridine-5'-Diphosphate  -> Deoxyadenosine Diphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt17m,"Transport of dUDP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Diphosphate + Deoxyuridine-5'-Diphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt18m,"Transport of dUDP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxyuridine-5'-Diphosphate  -> Adenosine Diphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt19m,"Transport of dUDP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxyuridine-5'-Diphosphate  -> Adenosine Triphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt1m,"Transport of dATP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxyadenosine Triphosphate  -> Adenosine Diphosphate + Deoxyadenosine Triphosphate "
DNDPt20m,"Transport of dTDP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxythymidine-5'-Diphosphate  -> Adenosine Triphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt21m,"Transport of dTDP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxythymidine-5'-Diphosphate  -> Adenosine Diphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt23m,"Transport of dTDP via dGTP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Diphosphate + Deoxythymidine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt24m,"Transport of dTDP via dADP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Diphosphate + Deoxythymidine-5'-Diphosphate  -> Deoxyadenosine Diphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt25m,"Transport of dTDP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Diphosphate + Deoxythymidine-5'-Diphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt28m,"Transport of dCDP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Diphosphate + Deoxyguanosine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxycytidine-5'-Diphosphate "
DNDPt2m,"Transport of dATP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxyadenosine Triphosphate  -> Adenosine Triphosphate + Deoxyadenosine Triphosphate "
DNDPt30m,"Transport of dCDP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxycytidine-5'-Diphosphate  -> Adenosine Diphosphate + Deoxycytidine-5'-Diphosphate "
DNDPt31m,"Transport of dCDP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxycytidine-5'-Diphosphate  -> Adenosine Triphosphate + Deoxycytidine-5'-Diphosphate "
DNDPt32m,"Transport of dGDP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxyguanosine-5'-Diphosphate  -> Adenosine Triphosphate + Deoxyguanosine-5'-Diphosphate "
DNDPt37m,"Transport of dUTP via dTDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxythymidine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate  -> Deoxythymidine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate "
DNDPt38m,"Transport of dUTP via dUDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyuridine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate  -> Deoxyuridine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate "
DNDPt39m,"Transport of dUTP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate "
DNDPt3m,"Transport of dATP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Triphosphate + Deoxycytidine-5'-Diphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxyadenosine Triphosphate "
DNDPt40m,"Transport of dUTP via dADP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Diphosphate + Deoxyuridine-5'-Triphosphate  -> Deoxyadenosine Diphosphate + Deoxyuridine-5'-Triphosphate "
DNDPt41m,"Transport of dUTP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxyuridine-5'-Triphosphate "
DNDPt42m,"Transport of dUTP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxyuridine-5'-Triphosphate  -> Adenosine Diphosphate + Deoxyuridine-5'-Triphosphate "
DNDPt43m,"Transport of dUTP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxyuridine-5'-Triphosphate  -> Adenosine Triphosphate + Deoxyuridine-5'-Triphosphate "
DNDPt44m,"Transport of dTTP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxythymidine-5'-Triphosphate  -> Adenosine Triphosphate + Deoxythymidine-5'-Triphosphate "
DNDPt45m,"Transport of dTTP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxythymidine-5'-Triphosphate  -> Adenosine Diphosphate + Deoxythymidine-5'-Triphosphate "
DNDPt46m,"Transport of dTTP via dUDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyuridine-5'-Diphosphate + Deoxythymidine-5'-Triphosphate  -> Deoxythymidine-5'-Triphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt47m,"Transport of dTTP via dTDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxythymidine-5'-Diphosphate + Deoxythymidine-5'-Triphosphate  -> Deoxythymidine-5'-Triphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt48m,"Transport of dTTP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Diphosphate + Deoxythymidine-5'-Triphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxythymidine-5'-Triphosphate "
DNDPt49m,"Transport of dTTP via dADP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Diphosphate + Deoxythymidine-5'-Triphosphate  -> Deoxyadenosine Diphosphate + Deoxythymidine-5'-Triphosphate "
DNDPt4m,"Transport of dATP via dUDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Triphosphate + Deoxyuridine-5'-Diphosphate  -> Deoxyadenosine Triphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt50m,"Transport of dTTP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Diphosphate + Deoxythymidine-5'-Triphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxythymidine-5'-Triphosphate "
DNDPt51m,"Transport of dCTP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Triphosphate + Deoxycytidine-5'-Diphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxycytidine-5'-Triphosphate "
DNDPt52m,"Transport of dCTP via dUDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Triphosphate + Deoxyuridine-5'-Diphosphate  -> Deoxycytidine-5'-Triphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt53m,"Transport of dCTP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Triphosphate + Deoxyguanosine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxycytidine-5'-Triphosphate "
DNDPt54m,"Transport of dCTP via dADP Antiport",SLC25A19,"Transport, mitochondrial","Deoxycytidine-5'-Triphosphate + Deoxyadenosine Diphosphate  -> Deoxyadenosine Diphosphate + Deoxycytidine-5'-Triphosphate "
DNDPt55m,"Transport of dCTP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxycytidine-5'-Triphosphate  -> Adenosine Diphosphate + Deoxycytidine-5'-Triphosphate "
DNDPt56m,"Transport of dCTP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxycytidine-5'-Triphosphate  -> Adenosine Triphosphate + Deoxycytidine-5'-Triphosphate "
DNDPt57m,"Transport of dGTP via ATP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Triphosphate + Deoxyguanosine-5'-Triphosphate  -> Adenosine Triphosphate + Deoxyguanosine-5'-Triphosphate "
DNDPt58m,"Transport of dGTP via ADP Antiport",SLC25A19,"Transport, mitochondrial","Adenosine Diphosphate + Deoxyguanosine-5'-Triphosphate  -> Adenosine Diphosphate + Deoxyguanosine-5'-Triphosphate "
DNDPt59m,"Transport of dGTP via dADP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Triphosphate + Deoxyadenosine Diphosphate  -> Deoxyadenosine Diphosphate + Deoxyguanosine-5'-Triphosphate "
DNDPt5m,"Transport of dATP via dTDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Triphosphate + Deoxythymidine-5'-Diphosphate  -> Deoxyadenosine Triphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt60m,"Transport of dGTP via dUDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Triphosphate + Deoxyuridine-5'-Diphosphate  -> Deoxyguanosine-5'-Triphosphate + Deoxyuridine-5'-Diphosphate "
DNDPt61m,"Transport of dGTP via dTDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Triphosphate + Deoxythymidine-5'-Diphosphate  -> Deoxyguanosine-5'-Triphosphate + Deoxythymidine-5'-Diphosphate "
DNDPt62m,"Transport of dGTP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Triphosphate + Deoxyguanosine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxyguanosine-5'-Triphosphate "
DNDPt63m,"Transport of dGTP via dCDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyguanosine-5'-Triphosphate + Deoxycytidine-5'-Diphosphate  -> Deoxycytidine-5'-Diphosphate + Deoxyguanosine-5'-Triphosphate "
DNDPt6m,"Transport of dATP via dGDP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Triphosphate + Deoxyguanosine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxyadenosine Triphosphate "
DNDPt7m,"Transport of dATP via dADP Antiport",SLC25A19,"Transport, mitochondrial","Deoxyadenosine Triphosphate + Deoxyadenosine Diphosphate  -> Deoxyadenosine Diphosphate + Deoxyadenosine Triphosphate "
DOGULNO1,"2, 3-Dioxo-L-Gulonate:Hydrogen Peroxide Oxireductase",,"Vitamin C metabolism","Hydrogen Peroxide + (4R,5S)-4,5,6-Trihydroxy-2,3-Dioxohexanoate  -> 2 Proton + Oxalate + L-Threonate "
DOLGLCP_Lter,"Dolichyl Beta-D-Glucosyl Phosphate Flippase (Liver)",,"N-glycan synthesis","0.1 Dolichyl Beta-D-Glucosyl Phosphate, Human Liver Homolog  -> 0.1 Dolichyl Beta-D-Glucosyl Phosphate, Human Liver Homolog "
DOLGPP_Ler,"Dolichyl-Beta-D-Glucosyl-Phosphate Dolichylphosphohydrolase (Liver)",,"N-glycan synthesis","Water + 0.1 Dolichyl Beta-D-Glucosyl Phosphate, Human Liver Homolog  -> Proton + 0.1 Dolichyl Phosphate + D-Glucose "
DOLICHOL_Lter,"Dolichol Diffusion, Human (Liver)",,"N-glycan synthesis","0.1 Dolichol, Human Liver Homolog  <=> 0.1 Dolichol, Human Liver Homolog "
DOLICHOL_Uter,"Dolichol Diffusion, Human (Uterus)",,"N-glycan synthesis","0.1 Dolichol, Human Uterine Homolog  <=> 0.1 Dolichol, Human Uterine Homolog "
DOLK_L,"Dolichol Kinase, Human (Liver)",,"N-glycan synthesis","Cytidine-5'-Triphosphate + 0.1 Dolichol, Human Liver Homolog  -> Proton + Cytidine-5'-DIphosphate + 0.1 Dolichyl Phosphate "
DOLK_U,"Dolichol Kinase, Human (Uterus)",,"N-glycan synthesis","Cytidine-5'-Triphosphate + 0.1 Dolichol, Human Uterine Homolog  -> Proton + Cytidine-5'-DIphosphate + 0.1 Dolichyl Phosphate "
DOLMANP_Uter,"Dolichol-Phosphate Mannose Flippase (Uterus)",,"N-glycan synthesis","0.1 Dolichyl Phosphate D-Mannose, Human Uterine Homolog  -> 0.1 Dolichyl Phosphate D-Mannose, Human Uterine Homolog "
DOLPGT3_Ler,"Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Liver)",ALG10,"N-glycan synthesis","Water + 0.1 Dolichyl Phosphate  -> Orthophosphate + 0.1 Dolichol, Human Liver Homolog "
DOLPGT3_Uer,"Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Uterus)",ALG10,"N-glycan synthesis","Water + 0.1 Dolichyl Phosphate  -> Orthophosphate + 0.1 Dolichol, Human Uterine Homolog "
DOLPMT3_Uer,"Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)",ALG12,"N-glycan synthesis","Guanosine-Diphosphate-Alpha-D-Mannose + 0.1 Dolichyl Phosphate  -> Guanosine-5'-Diphosphate + 0.1 Dolichyl Phosphate D-Mannose, Human Uterine Homolog "
DOLPMT4_Ler,"Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Liver)",,"N-glycan synthesis","0.1 Dolichyl Phosphate  -> 0.1 Dolichyl Phosphate "
DOLPMT4_Uer,"Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)",,"N-glycan synthesis","0.1 Dolichyl Phosphate  -> 0.1 Dolichyl Phosphate "
DOPABMO,"Dopamine Beta-Monooxygenase",MOXD1 | DBH,"Tyrosine metabolism","Oxygen + Proton + Dopamine + L-Ascorbate  -> Water + Norepinephrine + Dehydroascorbide "
DOPACHRMISO,"L-Dopachrome Isomerase 1",TYR,"Tyrosine metabolism","Oxygen + 2 2-Carboxy-2,3-Dihydro-5,6-Dihydroxyindole  -> 2 Water + 2 L-Dopachromate "
DOPAMT,"Dopamine:Amet O-Methyltransferase",COMT | COMT,"Tyrosine metabolism","S-Adenosyl-L-Methionine + Dopamine  -> Proton + S-Adenosyl-L-Homocysteine + 3-Methoxytyramine "
DOPAQNISO1,"Dopaquinone Isomerase 1",,"Tyrosine metabolism","L-Dopaquinone  <=> Proton + 2-Carboxy-2,3-Dihydro-5,6-Dihydroxyindole "
DOPASFt,"Transport of Dopamine 3-0-Sulfate (Diffusion)",,"Transport, extracellular","Dopamine 3-O-Sulfate  -> Dopamine 3-O-Sulfate "
DOPASULT,"Dopamine Sulfotransferase",SULT1A2 | SULT1A1 | SULT1A2 | SULT1A3 | SULT1A1 | SULT1A1 | SULT1A1 | SULT1A1 | SULT1A3 | SULT1A1,"Tyrosine metabolism","3'-Phosphoadenylyl Sulfate + Dopamine  -> Proton + Adenosine 3,5-Bismonophosphate + Dopamine 3-O-Sulfate "
DOPAt4_2_r,"Transport of Dopamine  via Sodium Symport (1:2), Reversible",SLC6A2 | SLC6A3,"Transport, extracellular","2 Sodium + Dopamine  <=> 2 Sodium + Dopamine "
DOPAtu,"Transport of Dopamine via Uniport",SLC22A3 | SLC22A2 | SLC22A2 | SLC22A5,"Transport, extracellular","Dopamine  <=> Dopamine "
DOPAVESSEC,"Secretion of Dopamine via Secretory Vesicle (ATP Driven)",SLC18A1 | SLC18A2,"Transport, extracellular","Water + Adenosine Triphosphate + Dopamine  -> Proton + Adenosine Diphosphate + Orthophosphate + Dopamine "
DORNOp,"D-Ornithine Oxidase, Perixosomal",DAO,"Arginine and proline metabolism","Oxygen + Water + D-Ornithine  -> Hydrogen Peroxide + Ammonium + 5-Amino-2-Oxopentanoic Acid "
DPCOAtl,"Transport of Dephospho Coenzyme A   via Diffusion, Lysosomal",,"Transport, lysosomal","Dephospho Coenzyme A  <=> Dephospho Coenzyme A "
DPGase,"Diphosphoglycerate Phosphatase",BPGM | PGAM1 | PGAM2 | PGAM2 | BPGM,"Glycolysis/gluconeogenesis","Water + 2,3-Bisphosphonato-D-Glycerate  -> Orthophosphate + 3-Phospho-D-Glycerate "
DPGM,"Diphosphoglyceromutase",BPGM | PGAM1 | PGAM2 | PGAM2 | BPGM,"Glycolysis/gluconeogenesis","3-Phospho-D-Glyceroyl Phosphate  <=> Proton + 2,3-Bisphosphonato-D-Glycerate "
DPHMBDCm,"3-Decaprenyl-4-Hydroxy-5-Methoxybenzoate Decarboxylation",,"Ubiquinone synthesis","Proton + 3-Decaprenyl-4-Hydroxy-5-Methoxybenzoate  -> Carbon Dioxide + 2-Decaprenyl-6-Methoxyphenol "
DPMVDx,"Diphosphomevalonate Decarboxylase",MVD,"Cholesterol metabolism","Adenosine Triphosphate + (R)-5-Diphosphomevalonate  -> Adenosine Diphosphate + Carbon Dioxide + Isopentenyl Diphosphate + Orthophosphate "
DPPS,"Decaprenyl Synthase",,"Miscellaneous","7 Isopentenyl Diphosphate + Farnesyl Diphosphate  -> 7 Diphosphate + All Trans Decaprenyl Diphosphate "
DRIBt,"Transport of Deoxyribose  via Diffusion",,"Transport, extracellular","2-Deoxy-D-Ribose  <=> 2-Deoxy-D-Ribose "
DRPA,"Deoxyribose-Phosphate Aldolase",DERA,"Pentose phosphate pathway","2-Deoxy-D-Ribose 5-Phosphate  -> Acetaldehyde + Glyceraldehyde 3-Phosphate "
DSAT,"Dihydrosphingosine N-Acyltransferase",,"Sphingolipid metabolism","Sphinganine + R Total Coenzyme A  -> Proton + Coenzyme A + Dihydroceramide "
DTDPtn,"Transport of dTDP, Nuclear",,"Transport, nuclear","Deoxythymidine-5'-Diphosphate  <=> Deoxythymidine-5'-Diphosphate "
DTTPtn,"Transport of dTTP, Nuclear",,"Transport, nuclear","Deoxythymidine-5'-Triphosphate  <=> Deoxythymidine-5'-Triphosphate "
DUDPtn,"Transport of dUDP, Nuclear",,"Transport, nuclear","Deoxyuridine-5'-Diphosphate  <=> Deoxyuridine-5'-Diphosphate "
DUMPtn,"Transport of dUMP, Nuclear",,"Transport, nuclear","Deoxyuridine-5'-Monophosphate  <=> Deoxyuridine-5'-Monophosphate "
DURAD,"Dihydrouracil Dehydrogenase (NADP)",DPYD,"Pyrimidine catabolism","Nicotinamide Adenine Dinucleotide Phosphate + 5,6-Dihydrouracil  <=> Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Uracil "
DURAD2,"Dihydrothymin Dehydrogenase (NADP)",DPYD,"Pyrimidine catabolism","Nicotinamide Adenine Dinucleotide Phosphate + 5,6-Dihydrothymine  <=> Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Thymine "
DURIK1,"Deoxyuridine Kinase (ATP:Deoxyuridine)",TK1 | TK2,"Nucleotide interconversion","Adenosine Triphosphate + Deoxyuridine  -> Proton + Adenosine Diphosphate + Deoxyuridine-5'-Monophosphate "
DURIK1m,"Deoxyuridine Kinase (ATP:Deoxyuridine), Mitochondrial",TK2,"Nucleotide interconversion","Adenosine Triphosphate + Deoxyuridine  -> Proton + Adenosine Diphosphate + Deoxyuridine-5'-Monophosphate "
DURIt,"Transport of Deoxyuridine via_Diffusion",SLC29A2,"Transport, extracellular","Deoxyuridine  <=> Deoxyuridine "
DURItn,"Transport of Deoxyuridine, Nuclear",,"Transport, nuclear","Deoxyuridine  <=> Deoxyuridine "
DUTPDPm,"DUTP Diphosphatase",DUT | ITPA,"Nucleotide interconversion","Water + Deoxyuridine-5'-Triphosphate  -> Proton + Diphosphate + Deoxyuridine-5'-Monophosphate "
DUTPDPn,"DUTP Diphosphatase, Nuclear",DUT,"Nucleotide interconversion","Water + Deoxyuridine-5'-Triphosphate  -> Diphosphate + Proton + Deoxyuridine-5'-Monophosphate "
EAFLATOXINte,"Transport of Aflatoxin B1 Exo-8,9-Epoxide",,"Transport, extracellular","Aflatoxin B1 Exo-8,9-Epoxide  <=> Aflatoxin B1 Exo-8,9-Epoxide "
EBASTINEOHte,"Transport of Hydroxylated Ebastine",,"Transport, extracellular","Hydroxylated Ebastine  <=> Hydroxylated Ebastine "
EBASTINEOHtr,"Transport of Hydroxylated Ebastine",,"Transport, endoplasmic reticular","Hydroxylated Ebastine  <=> Hydroxylated Ebastine "
EBASTINEte,"Transport of Ebastine",,"Transport, extracellular","Ebastine  <=> Ebastine "
EBASTINEtr,"Transport of Ebastine",,"Transport, endoplasmic reticular","Ebastine  <=> Ebastine "
EBP1r,"3-Beta-Hydroxysteroid-Delta (8), Delta (7)-Isomerase",EBP,"Cholesterol metabolism","Zymosterol  -> 5Alpha-Cholesta-7,24-Dien-3Beta-Ol "
EBP2r,"3-Beta-Hydroxysteroid-Delta (8), Delta (7)-Isomerase",EBP,"Cholesterol metabolism","Cholesta-8(9)-En-3Beta-Ol  -> 5Alpha-Cholest-7-En-3Beta-Ol "
ECOAH12m,"3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxyisobutyryl Coenzyme A), Mitochondrial",ECHS1 | (HADHA & HADHB),"Valine, leucine, and isoleucine metabolism","Water + 2-Methylprop-2-Enoyl Coenzyme A  <=> (S)-3-Hydroxyisobutyryl Coenzyme A "
ECOAH1m,"3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxybutanoyl Coenzyme A), Mitochondrial",AUH | (HADHA & HADHB) | ECHS1,"Tryptophan metabolism","(S)-3-Hydroxybutanoyl Coenzyme A  <=> Water + Crotonoyl Coenzyme A "
ECOAH1x,"3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxybutanoyl Coenzyme A) (Perioxisome)",ECH1 | EHHADH,"Tryptophan metabolism","(S)-3-Hydroxybutanoyl Coenzyme A  <=> Water + Crotonoyl Coenzyme A "
ECOAH9m,"2-Methylprop-2-Enoyl Coenzyme A (2-Methylbut-2-Enoyl Coenzyme A), Mitochondrial",ECHS1 | (HADHA & HADHB),"Valine, leucine, and isoleucine metabolism","Water + 2-Methylcrotonoyl Coenzyme A  <=> (2S,3S)-3-Hydroxy-2-Methylbutanoyl Coenzyme A "
EHGLAT2m,"L-Erythro-4-Hydroxyglutamate:2-Oxoglutarate Aminotransferase 2, Mitochondrial",GOT2,"Arginine and proline metabolism","Erythro-4-Hydroxy-L-Glutamate + Oxaloacetate  -> L-Aspartate + 4-Hydroxy-2-Oxoglutarate "
EHGLATm,"L-Erythro-4-Hydroxyglutamate:2-Oxoglutarate Aminotransferase, Mitochondrial",GOT2,"Arginine and proline metabolism","2-Oxoglutarate + Erythro-4-Hydroxy-L-Glutamate  -> L-Glutamate + 4-Hydroxy-2-Oxoglutarate "
