Rxn,min_AST,max_AST,min_GBM,max_GBM,min_ODG,max_ODG,Formula
DHCRD2,0,586.857880773048,0,1.0878526095097e-06,0,837.7613435326,"Dihydroceramide + Flavin Adenine Dinucleotide Oxidized  -> N-Acylsphingosine + Flavin Adenine Dinucleotide Reduced "
DHDPBMTm,0,3.22993645778087e-07,0,9.50959704448301e-07,0,9.16710981080371e-07,"3-Decaprenyl-4,5-Dihdydroxybenzoate + S-Adenosyl-L-Methionine  -> Proton + S-Adenosyl-L-Homocysteine + 3-Decaprenyl-4-Hydroxy-5-Methoxybenzoate "
DHFtl,-7.46474203576023e-06,0,-1.09697280616938e-05,0,-4.42813689005561e-06,0,"7,8-Dihydrofolate  <=> 7,8-Dihydrofolate "
DHFtm,0,7.46474203576023e-06,0,1.09697280095133e-05,0,4.03213016397785e-06,"7,8-Dihydrofolate  <=> 7,8-Dihydrofolate "
DHPM1,0,5.59855652682018e-06,0,3.32241331406635e-05,0,2.47572289708842e-05,"Water + 5,6-Dihydrouracil  -> Proton + N-Carbamoyl-Beta-Alaninate "
DHPR,0,174.779422336483,0,0.000184878584640558,0,8.85754972728137e-05,"Proton + Nicotinamide Adenine Dinucleotide - Reduced + 6,7-Dihydrobiopterin  -> Nicotinamide Adenine Dinucleotide + 5,6,7,8-Tetrahydrobiopterin "
DIDPtn,-1000,998.026628073578,-1000,1000,-1000,998.405425976828,"Deoxyinosine-5'-Diphosphate  <=> Deoxyinosine-5'-Diphosphate "
DIGALSIDEtl,NaN,NaN,0,3.48223287005567e-05,NaN,NaN,"Digalactosylceramide  <=> Digalactosylceramide "
DITPtn,-998.026628073578,1000,-1000,1000,-998.405425976828,1000,"Deoxyinosine-5'-Triphosphate  <=> Deoxyinosine-5'-Triphosphate "
DLNLCGCPT1,0,3.05375810553828e-06,0,9.39092477114656e-06,0,1.17311619760585e-05,"L-Carnitine + Dihomo-Gamma-Linolenyl Coenzyme A  <=> Coenzyme A + 8Z,11Z,14Z-Eicosatrienoylcarnitine "
DLNLCGCPT2,0,3.05375810553828e-06,0,9.39092472762582e-06,0,1.17311619760585e-05,"Coenzyme A + 8Z,11Z,14Z-Eicosatrienoylcarnitine  <=> L-Carnitine + Dihomo-Gamma-Linolenyl Coenzyme A "
DLNLCGCRNt,NaN,NaN,-1000,1000,NaN,NaN,"8Z,11Z,14Z-Eicosatrienoylcarnitine  <=> 8Z,11Z,14Z-Eicosatrienoylcarnitine "
DMATT,0,7.99793801726472e-07,0,2.19589724017499e-06,0,3.04816654432638e-06,"Isopentenyl Diphosphate + Dimethylallyl Diphosphate  -> Diphosphate + Geranyl Diphosphate "
DMATTx,0,7.99793724581832e-07,0,2.19589724300325e-06,0,3.04607662256562e-06,"Dimethylallyl Diphosphate + Isopentenyl Diphosphate  -> Diphosphate + Geranyl Diphosphate "
DMNONCOACRNCPT1,-154.565874717159,277.769786795321,-819.644196861049,1000,-0.000370247657656364,648.955850744483,"L-Carnitine + 4,8 Dimethylnonanoyl Coenzyme A  <=> Coenzyme A + 4,8-Dimethylnonanoyl Carnitine "
DM_4abut[c],NaN,NaN,999.999808316059,1000,NaN,NaN,"4-Aminobutanoate  -> "
DM_4glu56dihdind[c],-0,183.671524842153,-0,6.7791025170294e-05,-0,3.60590873640376e-05,"4-S-Glutathionyl-5,6-Dihydroxyindoline  -> "
DM_5cysdopa[c],-0,206.791274184525,-0,8.55407394211305e-05,NaN,NaN,"5-S-Cysteinyldopamine  -> "
DM_CE5025[c],NaN,NaN,NaN,NaN,0,3.49252758269358e-05,"5-S-Glutathionyl-Dopamine  -> "
DM_Lcystin,0,309.353338157047,NaN,NaN,NaN,NaN,"L-Cystine  -> "
DM_atp_c_,0,3.05375807840846e-06,0,9.49699882735189e-06,0,1.32844103291063e-05,"Water + Adenosine Triphosphate  -> Proton + Adenosine Diphosphate + Orthophosphate "
DM_dctp_m_,-0,3.05375809261932e-06,-0,1.06500921219777e-05,-0,1.09579201463816e-05,"Deoxycytidine-5'-Triphosphate  -> "
DM_dgpi_prot_hs_r_,NaN,NaN,-0,3.54636211308268e-06,NaN,NaN,"Deacylated-Glycophosphatidylinositol (Gpi)-Anchored Protein  -> "
DM_dgtp_m_,NaN,NaN,-0,9.72395922271829e-06,NaN,NaN,"Deoxyguanosine-5'-Triphosphate  -> "
DM_dttp_m_,-0,128.244664117435,596.766984716097,596.767688134141,0,5.62347912591576e-05,"Deoxythymidine-5'-Triphosphate  -> "
DM_ethamp_r_,NaN,NaN,-0,2.90637181024067e-05,NaN,NaN,"Ethanolamine Phosphate  -> "
DM_gpi_sig_er_,NaN,NaN,-0,3.54636211308268e-06,NaN,NaN,"Glycophosphatidylinositol (Gpi) Signal Sequence (C-Terminal Peptide)  -> "
DM_kdn_c_,-0,1.52687904630966e-06,-0,4.74849923648435e-06,-0,6.64220539192684e-06,"2-Keto-3-Deoxy-D-Glycero-D-Galactononic Acid  -> "
DM_mi1345p[c],NaN,NaN,-0,0.000322728390301563,NaN,NaN,"1D-Myo-Inositol 1,3,4,5-Tetrakisphosphate  -> "
DM_mi14p[c],NaN,NaN,-0,0.000645456781853682,317.331114773305,317.332884430976,"(1R,2R,3R,4R,5R,6S)-2,3,5,6-Tetrahydroxy-4-(Phosphonatooxy)Cyclohexyl Phosphate  -> "
DM_myelin_hs[c],NaN,NaN,NaN,NaN,-0,3.11500809857534e-06,"Myelin Sheath  -> "
DM_pcreat[c],-0,476.54551325456,56.4266468679822,56.4287571221046,-0,6.1434421809281e-05,"Phosphocreatine  -> "
DM_taur[c],NaN,NaN,NaN,NaN,0,0.000138842868986799,"Taurine  -> "
DNADtn,NaN,NaN,0,1000,NaN,NaN,"Deamino-Nad+  <=> Deamino-Nad+ "
DNDPt28m,0,3.05375809261932e-06,NaN,NaN,0,1.09579201463816e-05,"Deoxycytidine-5'-Diphosphate + Deoxyguanosine-5'-Diphosphate  -> Deoxyguanosine-5'-Diphosphate + Deoxycytidine-5'-Diphosphate "
DNDPt30m,NaN,NaN,0,1.06500921219777e-05,NaN,NaN,"Adenosine Diphosphate + Deoxycytidine-5'-Diphosphate  -> Adenosine Diphosphate + Deoxycytidine-5'-Diphosphate "
DOCO13EFATP,0,1.19969070055959e-06,0,3.27782251252628e-06,0,5.23168244059846e-06,"Adenosine Triphosphate + Coenzyme A + 13-Docosenoate  -> Adenosine Monophosphate + Diphosphate + 13-Docosenoyl Coenzyme A "
DOCOSACTDr,0,1.52687869103829e-06,0,4.6166980141038e-06,NaN,NaN,"Docosanoic Acid  <=> Docosanoic Acid "
DOCOSDIACTD,0,1.52687869103829e-06,0,4.6166980141038e-06,NaN,NaN,"Docosanedioicacid  <=> Docosanedioicacid "
DODECANACtd,NaN,NaN,0,2.33167770273823e-05,NaN,NaN,"Dodecanedioic Acid  <=> Dodecanedioic Acid "
DOLGLCP_Lter,0,1.11971130536404e-05,0,3.48223289279304e-05,0,5.03427523801869e-07,"0.1 Dolichyl Beta-D-Glucosyl Phosphate, Human Liver Homolog  -> 0.1 Dolichyl Beta-D-Glucosyl Phosphate, Human Liver Homolog "
DOLGPP_Ler,0,1.11971130536404e-05,0,3.48223288710869e-05,0,1.04377511291887e-05,"Water + 0.1 Dolichyl Beta-D-Glucosyl Phosphate, Human Liver Homolog  -> Proton + 0.1 Dolichyl Phosphate + D-Glucose "
DOLICHOL_Lter,NaN,NaN,NaN,NaN,0,5.06773023545293e-07,"0.1 Dolichol, Human Liver Homolog  <=> 0.1 Dolichol, Human Liver Homolog "
DOLMANP_Uter,NaN,NaN,0,1.0639086339248e-05,NaN,NaN,"0.1 Dolichyl Phosphate D-Mannose, Human Uterine Homolog  -> 0.1 Dolichyl Phosphate D-Mannose, Human Uterine Homolog "
DOLPGT3_Ler,NaN,NaN,NaN,NaN,0,5.06773023545293e-07,"Water + 0.1 Dolichyl Phosphate  -> Orthophosphate + 0.1 Dolichol, Human Liver Homolog "
DOLPMT3_Uer,NaN,NaN,0,1.0639086339248e-05,NaN,NaN,"Guanosine-Diphosphate-Alpha-D-Mannose + 0.1 Dolichyl Phosphate  -> Guanosine-5'-Diphosphate + 0.1 Dolichyl Phosphate D-Mannose, Human Uterine Homolog "
DOLPMT4_Uer,NaN,NaN,0,1.0639086339248e-05,NaN,NaN,"0.1 Dolichyl Phosphate  -> 0.1 Dolichyl Phosphate "
DOPACCL,0,183.671524842153,0,6.77910241790869e-05,0,3.60590873640376e-05,"Dopamine O-Quinone  -> Proton + Leukoaminochrome "
DOPAMT,0,4.58063716024526e-06,0,5.40657074097339e-05,0,1.82863408255685e-05,"S-Adenosyl-L-Methionine + Dopamine  -> Proton + S-Adenosyl-L-Homocysteine + 3-Methoxytyramine "
DOPAOQCYS,0,206.791274184525,0,8.55407394211305e-05,NaN,NaN,"L-Cysteine + Dopamine O-Quinone  -> 5-S-Cysteinyldopamine "
DOPAtu,-10.4810831862533,436.948555841208,NaN,NaN,NaN,NaN,"Dopamine  <=> Dopamine "
DPCOAK,0,3.05375814946274e-06,0,1.56270748910003e-05,0,1.32844106701668e-05,"Adenosine Triphosphate + Dephospho Coenzyme A  -> Proton + Adenosine Diphosphate + Coenzyme A "
DPCOAtl,0,3.05375809261932e-06,0,9.49699874297494e-06,0,1.32844107838537e-05,"Dephospho Coenzyme A  <=> Dephospho Coenzyme A "
DPGM,0,3.05375806419761e-06,0,9.49699870034237e-06,0,1.32844107838537e-05,"3-Phospho-D-Glyceroyl Phosphate  <=> Proton + 2,3-Bisphosphonato-D-Glycerate "
DPGase,0,3.05375806419761e-06,0,9.49699870034237e-06,0,1.32844107838537e-05,"Water + 2,3-Bisphosphonato-D-Glycerate  -> Orthophosphate + 3-Phospho-D-Glycerate "
DPHMBDCm,0,3.22993645778087e-07,0,9.50959704448301e-07,0,9.16710981080371e-07,"Proton + 3-Decaprenyl-4-Hydroxy-5-Methoxybenzoate  -> Carbon Dioxide + 2-Decaprenyl-6-Methoxyphenol "
DPMVDc,0,2.39938134732094e-06,0,6.76386996420804e-06,0,9.46577881677513e-06,"Adenosine Triphosphate + (R)-5-Diphosphomevalonate  -> Adenosine Diphosphate + Orthophosphate + Carbon Dioxide + Isopentenyl Diphosphate "
DPMVDx,0,2.39938134732094e-06,0,5.66558763021134e-06,0,8.84727666488061e-06,"Adenosine Triphosphate + (R)-5-Diphosphomevalonate  -> Adenosine Diphosphate + Carbon Dioxide + Isopentenyl Diphosphate + Orthophosphate "
DPPS,0,3.22993645778087e-07,0,9.50959704448301e-07,0,9.16710981080371e-07,"7 Isopentenyl Diphosphate + Farnesyl Diphosphate  -> 7 Diphosphate + All Trans Decaprenyl Diphosphate "
DRPA,0,1.11971129541644e-05,0,5.0093055680378e-05,0,8.33615127504572e-05,"2-Deoxy-D-Ribose 5-Phosphate  -> Acetaldehyde + Glyceraldehyde 3-Phosphate "
DSAT,2.635885838012,2.63588863729027,2.642843954562,2.64285224149657,2.129915313512,2.1299396682647,"Sphinganine + R Total Coenzyme A  -> Proton + Coenzyme A + Dihydroceramide "
DSMSTEROLtr,0,3.99896892742748e-07,NaN,NaN,NaN,NaN,"Desmosterol  -> Desmosterol "
DSREDUCr,NaN,NaN,NaN,NaN,0,1.53223212360297e-06,"Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Desmosterol  -> Nicotinamide Adenine Dinucleotide Phosphate + Cholesterol "
DTDPtn,-998.026628073578,1000,NaN,NaN,-998.405425976828,1000,"Deoxythymidine-5'-Diphosphate  <=> Deoxythymidine-5'-Diphosphate "
DTMPK,1.973371926422,1.9733719283434,1.978581162597,1.97858116857632,1.59457402317196,1.59457403156125,"Adenosine Triphosphate + Deoxythymidine-5'-Phosphate  -> Adenosine Diphosphate + Deoxythymidine-5'-Diphosphate "
DTMPKm,0,128.244664117435,596.766984716096,596.767688134141,NaN,NaN,"Adenosine Triphosphate + Deoxythymidine-5'-Phosphate  -> Adenosine Diphosphate + Deoxythymidine-5'-Diphosphate "
DTTPtn,-998.026628073578,1000,1.978581162597,1.97858116857632,-998.405425976828,1000,"Deoxythymidine-5'-Triphosphate  <=> Deoxythymidine-5'-Triphosphate "
DUDPtn,NaN,NaN,0,4.20134569232289e-05,NaN,NaN,"Deoxyuridine-5'-Diphosphate  <=> Deoxyuridine-5'-Diphosphate "
DUMPtn,-5.59855647708218e-06,0,-4.20134569232289e-05,0,-2.47572287165482e-05,0,"Deoxyuridine-5'-Monophosphate  <=> Deoxyuridine-5'-Monophosphate "
DURAD,-5.59855652682018e-06,0,-3.32241331406635e-05,0,-2.47572289708842e-05,0,"Nicotinamide Adenine Dinucleotide Phosphate + 5,6-Dihydrouracil  <=> Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Uracil "
DURIK1,0,3.05375809261932e-06,0,9.49699876340304e-06,0,1.32844108406971e-05,"Adenosine Triphosphate + Deoxyuridine  -> Proton + Adenosine Diphosphate + Deoxyuridine-5'-Monophosphate "
DURIK1m,0,2.23942261072807e-05,NaN,NaN,0,0.00013441812052406,"Adenosine Triphosphate + Deoxyuridine  -> Proton + Adenosine Diphosphate + Deoxyuridine-5'-Monophosphate "
DURIPP,0,5.59855652682018e-06,0,3.32241331406635e-05,0,2.47572289708842e-05,"Orthophosphate + Deoxyuridine  <=> 2-Deoxy-D-Ribose 1-Phosphate + Uracil "
DUTPDPm,0,1.11971130536404e-05,0,5.59104794888299e-05,0,6.72090607167775e-05,"Water + Deoxyuridine-5'-Triphosphate  -> Proton + Diphosphate + Deoxyuridine-5'-Monophosphate "
DUTPDPn,0,5.59855647708218e-06,0,4.20134569232289e-05,0,2.47572287165482e-05,"Water + Deoxyuridine-5'-Triphosphate  -> Diphosphate + Proton + Deoxyuridine-5'-Monophosphate "
D_LACt2,-3.05375809261932e-06,0,NaN,NaN,NaN,NaN,"Proton + (R)-Lactate  <=> Proton + (R)-Lactate "
D_LACtm,-3.05375812104103e-06,0,-180.360100859823,-180.355803138949,-101.513129763348,-101.512831054861,"Proton + (R)-Lactate  <=> Proton + (R)-Lactate "
EBP1r,0,3.99896892742748e-07,0,1.08785260034361e-06,0,1.5322320596077e-06,"Zymosterol  -> 5Alpha-Cholesta-7,24-Dien-3Beta-Ol "
EBP2r,0,3.99896891220156e-07,0,1.08785260315257e-06,0,1.53456160489895e-06,"Cholesta-8(9)-En-3Beta-Ol  -> 5Alpha-Cholest-7-En-3Beta-Ol "
ECOAH12m,0,252.000408385694,0,0.000840786639059843,0,0.000146312081142241,"Water + 2-Methylprop-2-Enoyl Coenzyme A  <=> (S)-3-Hydroxyisobutyryl Coenzyme A "
ECOAH1m,-87.2979113938733,565.478542983686,0,0.000534325928185808,814.16026345594,814.160855852187,"(S)-3-Hydroxybutanoyl Coenzyme A  <=> Water + Crotonoyl Coenzyme A "
ECOAH1x,-70.8818955473297,0,-7.73037713688479e-06,0,-0.000185123829567146,0,"(S)-3-Hydroxybutanoyl Coenzyme A  <=> Water + Crotonoyl Coenzyme A "
ECOAH9m,-234.499405474621,111.886447387381,-0.000176598593384369,0.000176598595658106,-2.65852058873861e-05,2.20980660011646e-05,"Water + 2-Methylcrotonoyl Coenzyme A  <=> (2S,3S)-3-Hydroxy-2-Methylbutanoyl Coenzyme A "
EHGLAT2m,0,45.7346114621065,0,4.86600304085982e-05,0,2.45261531430876e-05,"Erythro-4-Hydroxy-L-Glutamate + Oxaloacetate  -> L-Aspartate + 4-Hydroxy-2-Oxoglutarate "
EHGLATm,0,45.7346114621065,0,4.86600307084659e-05,0,2.45261526459621e-05,"2-Oxoglutarate + Erythro-4-Hydroxy-L-Glutamate  -> L-Glutamate + 4-Hydroxy-2-Oxoglutarate "
EIC21114TRc,0,1.3436535607525e-06,0,4.17341952196892e-06,0,5.87606284341291e-06,"Water + Trans,Cis,Cis-2,11,14-Eicosatrienoyl Coenzyme A  -> Proton + Coenzyme A + Trans,Cis,Cis-2,11,14-Eicosatrienoic Acid "
EIC21114TRte,0,1.3436535607525e-06,0,4.17341952196892e-06,0,5.87606284341291e-06,"Water + Adenosine Triphosphate + Trans,Cis,Cis-2,11,14-Eicosatrienoic Acid  -> Proton + Adenosine Diphosphate + Orthophosphate + Trans,Cis,Cis-2,11,14-Eicosatrienoic Acid "
EICOSTETCPT1,0,3.05375810553828e-06,0,9.39092474272485e-06,0,1.17311622034322e-05,"L-Carnitine + (8Z,11Z,14Z,17Z)-Eicosatetraenoyl Coenzyme A  <=> Coenzyme A + 8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine "
EICOSTETCPT2,0,3.05375810553828e-06,0,9.39092469653957e-06,0,1.17311622034322e-05,"Coenzyme A + 8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine  <=> L-Carnitine + (8Z,11Z,14Z,17Z)-Eicosatetraenoyl Coenzyme A "
EICOSTETCRNt,NaN,NaN,-1000,1000,NaN,NaN,"8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine  <=> 8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine "
ELAIDCPT1,724.081794244122,1000,-41.876902098526,0.000389524505568928,686.140640501314,1000,"L-Carnitine + (2E)-Octadecenoyl Coenzyme A  <=> Coenzyme A + Elaidic carnitine "
ELAIDCPT2,724.081794244123,1000,NaN,NaN,999.999680729491,1000,"Coenzyme A + Elaidic carnitine  <=> L-Carnitine + (2E)-Octadecenoyl Coenzyme A "
ELAIDCRNt,NaN,NaN,-1000,1000,NaN,NaN,"Elaidic carnitine  <=> Elaidic carnitine "
ENO,999.999996946242,1000,999.999990719609,1000,999.999985204385,1000,"2-Phospho-D-Glycerate  <=> Water + Phosphoenolpyruvate "
ESTRADIOLtr,0,1000,0,1000,0,1000,"Estradiol  <=> Estradiol "
ESTRONEtr,-1000,0,-1000,0,-1000,0,"Estrone  <=> Estrone "
ETF,0,666.666666666667,0,606.548065620349,0,632.829056315047,"Flavin Adenine Dinucleotide Reduced + Electron Transfer Flavoprotein Oxidized  -> Flavin Adenine Dinucleotide Oxidized + Electron Transfer Flavoprotein Reduced "
ETFQO,0,666.666666666667,0,606.548065620349,0,632.829056315047,"Ubiquinone-10 + Electron Transfer Flavoprotein Reduced  -> Ubiquinol-10 + Electron Transfer Flavoprotein Oxidized "
ETHAK,0,26.7987366065891,0,0.88160870312133,0,0.710428902091621,"Adenosine Triphosphate + Ethanolamine  -> Proton + Adenosine Diphosphate + Ethanolamine Phosphate "
ETHAMPtr,-318.753830573629,341.680560123812,-343.773661283648,-10.4396245322685,6.74456458995554,6.74496011614596,"Ethanolamine Phosphate  <=> Ethanolamine Phosphate "
ETOHt,0,1.11971130062708e-05,0,4.46020358886301e-05,0,7.24819421407119e-05,"Ethanol  <=> Ethanol "
ETOHtx,0,1.11971130536404e-05,0,3.85305687543228e-05,0,6.06154835622874e-05,"Ethanol  <=> Ethanol "
EX_2h3mv[e],0,474.94314140312,0,179.316515450136,0,0.000105382881883997,"2-Hydroxy-3-Methyl-Valerate  <=> "
EX_2hb[e],-0,250.701597650366,0,0.00224397303099977,-6.13212166626909e-05,1.88946271464374e-05,"2-Hydroxybutyrate  <=> "
EX_2hiv[e],0,474.943141403121,0,179.316515450167,0,0.000105382882452432,"2-Hydroxy-Isovalerate  <=> "
EX_2m3hvac[e],266.485962242794,554.4310787236,499.998878013481,500.000088299297,-0,3.06606086155625e-05,"2-Methyl-3-Hydroxy-Valerate  <=> "
EX_34dhoxmand[e],NaN,NaN,0,8.26101276061308e-05,NaN,NaN,"3,4-Dihydroxymandelate  <=> "
EX_34dhoxpeg[e],-423.596011781829,110.413535746728,-0,8.26101276061308e-05,-0.00111074294454738,1.00596257652796e-05,"3,4-Dihydroxyphenylethyleneglycol  <=> "
EX_34dhpe[c],-0,110.413535746727,-0,5.40657076157913e-05,999.998889257025,1000,"3,4-Dihydroxyphenylethanol  <=> "
EX_34dhpha[e],-1000,-0,-1000,-0,-1000,-999.998889257037,"(3,4-Dihydroxyphenyl)Acetate  <=> "
EX_3aib[e],-0,239.862773038208,-0,0.00026838820156172,-0,0.000346860560284767,"(S)-3-Aminoisobutyric Acid  <=> "
EX_3bcrn[e],-0,565.478542983686,-0,0.0005343259280437,814.160263455941,814.160855852186,"3-Hydroxy Butyryl Carnitine  <=> "
EX_3ddcrn[e],-0,183.921173834889,-0,0.00520740510800266,-0,7.57555209695094e-05,"3-Hydroxydodecanoylcarnitine  <=> "
EX_3deccrn[e],-0,161.391209061527,-0,41.8765071202535,185.839144147816,185.839736544058,"3-Hydroxydecanoylcarnitine  <=> "
EX_3hadpac[e],-0,1.11971130536404e-05,NaN,NaN,-0,4.47818603390715e-05,"3-Hydroxy-Adipate  <=> "
EX_3hdececrn[e],-0,107.677984411681,-0,0.000260481047419603,-0,4.33541699749185e-05,"3-Hydroxyhexadecenoylcarnitine  <=> "
EX_3hexdcrn[e],32.01642777843,997.364119760545,-0,0.001126443396128,-0,0.000137628235094667,"3-Hydroxyhexadecanoylcarnitine  <=> "
EX_3ivcrn[e],-0,116.488903240003,-0,0.000151553783496183,-0,2.14005161751629e-05,"3-Hydroxy-Isovaleryl Carnitine  <=> "
EX_3mlda[e],NaN,NaN,-0,0.000122372831356188,NaN,NaN,"3-Methylimidazoleacetic Acid  <=> "
EX_3mox4hoxm[e],-0,423.59601178183,NaN,NaN,-0,0.00111074296376046,"3-Methoxy-4-Hydroxymandelate  <=> "
EX_3moxtyr[e],-0,4.5806371176127e-06,NaN,NaN,-0,1.82863407616196e-05,"3-Methoxytyramine  <=> "
EX_3octdec2crn[e],-0,1.11971129967969e-05,-0,3.48223287360838e-05,-0,3.37878672098668e-05,"3-Hydroxyoctadecadienoylcarnitine  <=> "
EX_3octdeccrn[e],-0,273.582639720392,250.545577562183,292.424275204239,-0,8.19760317654072e-05,"3-Hydroxyoctadecanoyl Carnitine  <=> "
EX_3ohsebac[e],-0,1.11971130062708e-05,NaN,NaN,NaN,NaN,"3-Hydroxy-Sebacic Acid  <=> "
EX_3ohsubac[e],-0,1.11971130536404e-05,NaN,NaN,-0,4.47818603106498e-05,"3-Hydoxy-Suberic Acid  <=> "
EX_3tdcrn[e],-0,367.842347669778,-0,83.7530142405103,-0,5.51477837049674e-05,"3-Hydroxy-Tetradecanoyl Carnitine  <=> "
EX_3tetd7ecoacrn[e],-0,82.9663231923192,-0,0.000211559581828169,-0,2.94698579944586e-05,"3-Hydroxy Tetradecenoyl-7-Carnitine  <=> "
EX_3thexddcoacrn[e],-0,107.677984411681,-0,0.000147267770671533,-0,4.33541702022922e-05,"3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine  <=> "
EX_3ttetddcoacrn[e],-0,82.9663231923191,-0,0.000130240523304792,-0,2.94698585534547e-05,"3-Hydroxy Trans5,8Tetradecadienoyl Carnitine  <=> "
EX_3uib[e],-143.128657449461,-0,-0.000112771810890422,-0,-1.31588647036551e-05,-0,"3-Ureidoisobutyrate  <=> "
EX_4aabutn[e],-0,67.8090216201745,-0,9.14828105109677e-05,-0,1.3666525120988e-05,"4-Acetamidobutanoate  <=> "
EX_4abut[e],844.800910508013,1000,NaN,NaN,NaN,NaN,"4-Aminobutanoate  <=> "
EX_4hphac[e],NaN,NaN,-0,7.64113732998339e-05,NaN,NaN,"4-Hydroxyphenylacetate  <=> "
EX_5cysgly34dhphe[e],NaN,NaN,-0,8.72305902532844e-06,NaN,NaN,"5-S-Cysteinylglycine Dopa  <=> "
EX_5mta[e],0,2.39938134427575e-06,0,7.17243904091447e-06,0,7.49246790743285e-06,"5-Methylthioadenosine  <=> "
EX_C04805[e],-0,1.11971131673272e-05,-0.000100721188744046,2.93030318516685e-05,-0,4.47818607085537e-05,"5-Hydroxyeicosatetraenoate  <=> "
EX_C04849[e],-0,138.318495602454,-0,0.000127119566855072,-0,0.000277685736591593,"(5Z,9E,14Z)-(8Xi,11R,12S)-11,12-Epoxy-8-Hydroxyicosa-5,9,14-Trienoate  <=> "
EX_C05769[e],-0,3.05375810553828e-06,-0,1.74631196907526e-05,-0,2.4444769337606e-06,"Coproporphyrin I  <=> "
EX_CE0074[e],0,139.274948761324,0,0.00073202570530384,0,0.000555371480743361,"Alloxan  <=> "
EX_CE1918[e],NaN,NaN,-0,8.26101277198177e-05,NaN,NaN,"5-Hydroxytryptophol  <=> "
EX_CE2006[e],-0,2.39938136863722e-06,-0,5.67046129473072e-06,-0,7.66085770464997e-06,"4-Hydroxy-2-Nonenal  <=> "
EX_CE2176[e],-474.943141403121,-0,NaN,NaN,NaN,NaN,"3-O-Methyldopa  <=> "
EX_CE2445[e],NaN,NaN,-0,9.15501677933861e-06,NaN,NaN,"6-Trans-Leukotriene B4 (5S,12R-Dihydroxy-6E,8E,10E,14Z-Eicosatetraenoic Acid)  <=> "
EX_CE6247[e],NaN,NaN,-0,9.03298477794579e-06,NaN,NaN,"5,12,20-Trihete  <=> "
EX_HC00004[e],NaN,NaN,14.2421248437071,14.2423402571463,NaN,NaN,"Apoa1  <=> "
EX_HC00005[e],17.045794826767,28.4096628966939,NaN,NaN,22.9560176127396,22.9563303320338,"ApoB100  <=> "
EX_HC00006[e],NaN,NaN,14.2421248437071,14.2423402571463,NaN,NaN,"ApoC1  <=> "
EX_HC00007[e],NaN,NaN,14.2421248437071,14.2423402571463,NaN,NaN,"ApoC2  <=> "
EX_HC00008[e],NaN,NaN,14.2421248437071,14.2423402571463,NaN,NaN,"ApoC3  <=> "
EX_HC00009[e],NaN,NaN,14.2421248437071,14.2423402571463,NaN,NaN,"ApoE  <=> "
EX_HC00250[e],-1000,-865.888823906765,-1000,-999.999638047465,NaN,NaN,"Hydrosulfide  <=> "
EX_HC00900[e],-671.666674019438,-442.5634051344,-326.799960718798,-326.797435982546,NaN,NaN,"Methylmalonate  <=> "
EX_HC01444[e],NaN,NaN,0,1000,NaN,NaN,"Galactosylglycerol  <=> "
EX_HC02160[e],-0,907.398296150465,-0,1000,NaN,NaN,"Gm2-Pool  <=> "
EX_HC02161[e],-907.398296150465,-0,-1000,-0,NaN,NaN,"Gm1-Pool  <=> "
EX_HC02213[e],-0,1.11971133189096e-05,-0,2.62097638916714e-05,-0,4.76214818831977e-05,"Prostaglandin-E3  <=> "
EX_M00117[e],-0,3.05375809261932e-06,-0,9.23806947206174e-06,-0,1.18563841624564e-05,"7Z-Tetradecenoic Acid  <=> "
EX_M00315[e],-0,9.33092749733078e-07,-0,2.89678996523435e-06,-0,4.08901149739904e-06,"12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid  <=> "
EX_M01111[e],-0,1000,-0,0.000406892051898922,-0,0.00111074296648894,"5-L-Gamma-Glutamyl Amino Acid  <=> "
EX_M01881[e],-0,7.63439526384569e-07,NaN,NaN,-0,3.57401006212399e-06,"(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1  <=> "
EX_M03131[e],NaN,NaN,-0,2.97566896487502e-06,NaN,NaN,"V3(Neuac)2-Gb5Cer ((Gal)3 (GalNAc)1 (Glc)1 (Neu5Ac)2 (Cer)1)  <=> "
EX_Rtotal2[e],8.52289741338349,14.204831448347,14.2421248437076,33.6931514185604,11.4780088063734,11.4792583922161,"R Total 2 Position  <=> "
EX_Rtotal3[e],8.52289741338349,14.204831448347,14.2421248437071,14.2423402571463,11.4780088063698,11.4781651660176,"R Total 3 Position  <=> "
EX_abt[e],-0,1000,-0,720.084795563877,-0,1000,"L-Arabinitol  <=> "
EX_acac[e],127.102575725033,721.702857360479,NaN,NaN,NaN,NaN,"Acetoacetate  <=> "
EX_ach[e],-1.11971130846156e-05,-0,NaN,NaN,NaN,NaN,"Acetylcholine  <=> "
EX_acnam[e],-3.83901019758477e-06,9.87980558540906e-07,-1.13765631795104e-05,-0,-1.5164763127018e-05,3.99726577171577e-06,"N-Acetylneuraminate  <=> "
